Country,Count_median,WHO Region
Algeria,100.0,Africa
Angola,4800.0,Africa
Benin,2400.0,Africa
Botswana,15000.0,Africa
Burkina Faso,12000.0,Africa
Burundi,11000.0,Africa
Cabo Verde,200.0,Africa
Cameroon,19000.0,Africa
Central African Republic,11000.0,Africa
Chad,5600.0,Africa
Comoros,100.0,Africa
C̫te d'Ivoire,44000.0,Africa
Democratic Republic of the Congo,43000.0,Africa
Equatorial Guinea,680.0,Africa
Eritrea,1100.0,Africa
Eswatini,5000.0,Africa
Ethiopia,58000.0,Africa
Gabon,1600.0,Africa
Gambia,500.0,Africa
Ghana,18000.0,Africa
Guinea,5000.0,Africa
Guinea-Bissau,1100.0,Africa
Kenya,120000.0,Africa
Lesotho,12000.0,Africa
Liberia,3000.0,Africa
Madagascar,500.0,Africa
Malawi,57000.0,Africa
Mali,7700.0,Africa
Mauritania,500.0,Africa
Mauritius,100.0,Africa
Mozambique,40000.0,Africa
Namibia,7300.0,Africa
Niger,2300.0,Africa
Nigeria,78000.0,Africa
Rwanda,18000.0,Africa
Senegal,1700.0,Africa
Sierra Leone,2400.0,Africa
South Africa,100000.0,Africa
South Sudan,5100.0,Africa
Togo,5600.0,Africa
Uganda,85000.0,Africa
United Republic of Tanzania,80000.0,Africa
Zambia,62000.0,Africa
Zimbabwe,120000.0,Africa
Egypt,100.0,Africa
Libya,100.0,Africa
Morocco,500.0,Africa
Somalia,810.0,Africa
Congo,6100.0,Africa
Djibouti,500.0,Africa
Sudan,650.0,Africa
Tunisia,100.0,Africa